"Date Reported","Region","Borough/Census Area","Community","All Cases"
04/22/2021,Southeast,Juneau City and Borough,Juneau,2
04/22/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,1
04/22/2021,Southeast,Sitka City and Borough,Sitka,1
04/22/2021,Southeast,Wrangell City and Borough,Wrangell,1
04/22/2021,Southwest,Aleutians West Census Area,Unalaska,1
04/22/2021,Southwest,Bethel Census Area,Bethel,3
04/22/2021,Southwest,Bethel Census Area,Other,2
04/22/2021,Southwest,Kusilvak Census Area,Other,3
04/23/2021,Anchorage,Anchorage Municipality,Anchorage,31
04/23/2021,Anchorage,Anchorage Municipality,Eagle River,2
04/23/2021,Gulf Coast,Chugach Census Area,Valdez,1
04/23/2021,Gulf Coast,Copper River Census Area,Other,1
04/23/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
04/23/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/23/2021,Gulf Coast,Kenai Peninsula Borough,Other South,1
04/23/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
04/23/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,5
04/23/2021,Interior,Denali Borough,Other,1
04/23/2021,Interior,Fairbanks North Star Borough,Fairbanks,33
04/23/2021,Interior,Fairbanks North Star Borough,North Pole,12
04/23/2021,Interior,Fairbanks North Star Borough,Other,1
04/23/2021,Interior,Southeast Fairbanks Census Area,Other,1
04/23/2021,Interior,Southeast Fairbanks Census Area,Tok,2
04/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,14
04/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,16
04/23/2021,Northern,North Slope Borough,Utqiagvik,2
04/23/2021,Northern,Northwest Arctic Borough,Other,2
04/23/2021,Southeast,Juneau City and Borough,Juneau,1
04/23/2021,Southwest,Bethel Census Area,Other,2
04/23/2021,Southwest,Kusilvak Census Area,Other,4
04/24/2021,Anchorage,Anchorage Municipality,Anchorage,30
04/24/2021,Anchorage,Anchorage Municipality,Chugiak,2
04/24/2021,Anchorage,Anchorage Municipality,Eagle River,4
04/24/2021,Gulf Coast,Copper River Census Area,Other,1
04/24/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,3
04/24/2021,Interior,Fairbanks North Star Borough,Ester,1
04/24/2021,Interior,Fairbanks North Star Borough,Fairbanks,83
04/24/2021,Interior,Fairbanks North Star Borough,North Pole,17
04/24/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
04/24/2021,Interior,Southeast Fairbanks Census Area,Other,1
04/24/2021,Interior,Southeast Fairbanks Census Area,Tok,8
04/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,10
04/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,24
04/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
04/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,1
04/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
04/24/2021,Northern,North Slope Borough,Utqiagvik,2
04/24/2021,Southeast,Juneau City and Borough,Juneau,1
04/24/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,3
04/24/2021,Southeast,Prince of Wales-Hyder Census Area,Other,2
04/24/2021,Southeast,Sitka City and Borough,Sitka,1
04/25/2021,Anchorage,Anchorage Municipality,Anchorage,27
04/25/2021,Anchorage,Anchorage Municipality,Chugiak,1
04/25/2021,Anchorage,Anchorage Municipality,Eagle River,1
04/25/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
04/25/2021,Gulf Coast,Kodiak Island Borough,Kodiak,2
04/25/2021,Interior,Fairbanks North Star Borough,Fairbanks,10
04/25/2021,Interior,Fairbanks North Star Borough,North Pole,4
04/25/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,7
04/25/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,12
04/25/2021,Northern,North Slope Borough,Utqiagvik,1
04/25/2021,Northern,Northwest Arctic Borough,Other,5
04/25/2021,Southeast,Haines Borough,Haines,1
04/25/2021,Southeast,Juneau City and Borough,Juneau,1
04/25/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,1
04/25/2021,Southeast,Prince of Wales-Hyder Census Area,Craig,2
04/25/2021,Southeast,Prince of Wales-Hyder Census Area,Other,3
04/25/2021,Southeast,Skagway Municipality,Skagway,1
04/25/2021,Southeast,Yakutat plus Hoonah-Angoon,Other,1
04/25/2021,Southwest,Dillingham Census Area,Dillingham,1
04/26/2021,Anchorage,Anchorage Municipality,Anchorage,19
04/26/2021,Anchorage,Anchorage Municipality,Chugiak,1
04/26/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
04/26/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
04/26/2021,Interior,Fairbanks North Star Borough,Fairbanks,42
04/26/2021,Interior,Fairbanks North Star Borough,North Pole,21
04/26/2021,Interior,Fairbanks North Star Borough,Other,11
04/26/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
04/26/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,5
04/26/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,23
04/26/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
04/26/2021,Northern,Nome Census Area,Nome,1
04/26/2021,Northern,North Slope Borough,Utqiagvik,1
04/26/2021,Southeast,Juneau City and Borough,Juneau,2
04/26/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
04/27/2021,Anchorage,Anchorage Municipality,Anchorage,34
04/27/2021,Anchorage,Anchorage Municipality,Chugiak,5
04/27/2021,Anchorage,Anchorage Municipality,Eagle River,4
04/27/2021,Gulf Coast,Chugach Census Area,Other,1
04/27/2021,Gulf Coast,Copper River Census Area,Other,1
04/27/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,2
04/27/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,5
04/27/2021,Gulf Coast,Kenai Peninsula Borough,Other North,1
04/27/2021,Gulf Coast,Kenai Peninsula Borough,Other South,3
04/27/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,4
04/27/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,1
04/27/2021,Interior,Denali Borough,Healy,1
04/27/2021,Interior,Fairbanks North Star Borough,Fairbanks,45
04/27/2021,Interior,Fairbanks North Star Borough,North Pole,11
04/27/2021,Interior,Fairbanks North Star Borough,Other,2
04/27/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,3
04/27/2021,Interior,Southeast Fairbanks Census Area,Other,1
04/27/2021,Interior,Southeast Fairbanks Census Area,Tok,1
04/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,9
04/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,30
04/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
04/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
04/27/2021,Northern,Nome Census Area,Nome,1
04/27/2021,Southeast,Juneau City and Borough,Juneau,1
04/27/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,6
04/27/2021,Southeast,Prince of Wales-Hyder Census Area,Other,1
04/27/2021,Southwest,Bethel Census Area,Other,3
04/27/2021,Southwest,Kusilvak Census Area,Other,7
04/28/2021,Anchorage,Anchorage Municipality,Anchorage,49
04/28/2021,Anchorage,Anchorage Municipality,Eagle River,6
04/28/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/28/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
04/28/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,5
04/28/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,2
04/28/2021,Gulf Coast,Kodiak Island Borough,Kodiak,2
04/28/2021,Interior,Fairbanks North Star Borough,Fairbanks,34
04/28/2021,Interior,Fairbanks North Star Borough,North Pole,17
04/28/2021,Interior,Fairbanks North Star Borough,Other,2
04/28/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,2
04/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,10
04/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,20
04/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
04/28/2021,Northern,North Slope Borough,Utqiagvik,1
04/28/2021,Southeast,Juneau City and Borough,Juneau,1
04/28/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,3
04/28/2021,Southeast,Prince of Wales-Hyder Census Area,Other,1
04/28/2021,Southwest,Aleutians East Borough,Other,1
04/28/2021,Southwest,Aleutians West Census Area,Unalaska,1
04/28/2021,Southwest,Bethel Census Area,Other,1
04/28/2021,Southwest,Kusilvak Census Area,Chevak,1
04/28/2021,Southwest,Kusilvak Census Area,Other,2
04/29/2021,Anchorage,Anchorage Municipality,Anchorage,34
04/29/2021,Anchorage,Anchorage Municipality,Chugiak,1
04/29/2021,Anchorage,Anchorage Municipality,Eagle River,4
04/29/2021,Gulf Coast,Chugach Census Area,Cordova,1
04/29/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
04/29/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,2
04/29/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,2
04/29/2021,Interior,Denali Borough,Healy,1
04/29/2021,Interior,Fairbanks North Star Borough,Fairbanks,24
04/29/2021,Interior,Fairbanks North Star Borough,North Pole,16
04/29/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
04/29/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,11
04/29/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,21
04/29/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
04/29/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
04/29/2021,Northern,North Slope Borough,Utqiagvik,2
04/29/2021,Northern,Northwest Arctic Borough,Other,1
04/29/2021,Southeast,Haines Borough,Haines,1
04/29/2021,Southeast,Juneau City and Borough,Juneau,2
04/29/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
04/29/2021,Southeast,Prince of Wales-Hyder Census Area,Other,2
04/29/2021,Southwest,Bethel Census Area,Other,1
04/29/2021,Southwest,Kusilvak Census Area,Other,1
04/30/2021,Anchorage,Anchorage Municipality,Anchorage,25
04/30/2021,Anchorage,Anchorage Municipality,Eagle River,1
04/30/2021,Gulf Coast,Chugach Census Area,Valdez,1
04/30/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,2
04/30/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
04/30/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
04/30/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
04/30/2021,Interior,Fairbanks North Star Borough,Fairbanks,18
04/30/2021,Interior,Fairbanks North Star Borough,North Pole,4
04/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,6
04/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,11
04/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
04/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Other,1
04/30/2021,Southeast,Juneau City and Borough,Juneau,6
04/30/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,3
04/30/2021,Southeast,Prince of Wales-Hyder Census Area,Other,3
04/30/2021,Southeast,Wrangell City and Borough,Wrangell,1
04/30/2021,Southeast,Yakutat plus Hoonah-Angoon,Other,1
05/01/2021,Anchorage,Anchorage Municipality,Anchorage,24
05/01/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/01/2021,Anchorage,Anchorage Municipality,Eagle River,2
05/01/2021,Gulf Coast,Copper River Census Area,Other,1
05/01/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
05/01/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
05/01/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,1
05/01/2021,Gulf Coast,Kodiak Island Borough,Kodiak,4
05/01/2021,Interior,Fairbanks North Star Borough,Fairbanks,28
05/01/2021,Interior,Fairbanks North Star Borough,North Pole,14
05/01/2021,Interior,Fairbanks North Star Borough,Other,1
05/01/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,2
05/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,3
05/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,9
05/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Other,2
05/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,1
05/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,2
05/01/2021,Northern,Northwest Arctic Borough,Kotzebue,1
05/01/2021,Southeast,Juneau City and Borough,Juneau,4
05/01/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,1
05/01/2021,Southeast,Sitka City and Borough,Sitka,1
05/01/2021,Southwest,Kusilvak Census Area,Other,1
05/02/2021,Anchorage,Anchorage Municipality,Anchorage,19
05/02/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/02/2021,Anchorage,Anchorage Municipality,Eagle River,4
05/02/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
05/02/2021,Interior,Fairbanks North Star Borough,Fairbanks,15
05/02/2021,Interior,Fairbanks North Star Borough,North Pole,3
05/02/2021,Interior,Fairbanks North Star Borough,Other,1
05/02/2021,Interior,Yukon-Koyukuk Census Area,Other,1
05/02/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,2
05/02/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,8
05/02/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
05/02/2021,Northern,North Slope Borough,Other,1
05/02/2021,Northern,North Slope Borough,Utqiagvik,1
05/02/2021,Northern,Northwest Arctic Borough,Other,2
05/02/2021,Southeast,Juneau City and Borough,Juneau,2
05/02/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,3
05/03/2021,Anchorage,Anchorage Municipality,Anchorage,18
05/03/2021,Gulf Coast,Chugach Census Area,Valdez,1
05/03/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,3
05/03/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
05/03/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
05/03/2021,Interior,Fairbanks North Star Borough,Fairbanks,17
05/03/2021,Interior,Fairbanks North Star Borough,North Pole,7
05/03/2021,Interior,Fairbanks North Star Borough,Other,4
05/03/2021,Interior,Fairbanks North Star Borough,Salcha,1
05/03/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
05/03/2021,Interior,Yukon-Koyukuk Census Area,Other,1
05/03/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,6
05/03/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,15
05/03/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
05/03/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
05/03/2021,Northern,Nome Census Area,Nome,3
05/03/2021,Southeast,Juneau City and Borough,Juneau,2
05/03/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
05/03/2021,Southeast,Ketchikan Gateway Borough,Other,1
05/03/2021,Southeast,Prince of Wales-Hyder Census Area,Other,2
05/03/2021,Southeast,Sitka City and Borough,Sitka,1
05/03/2021,Southeast,Wrangell City and Borough,Wrangell,1
05/03/2021,Southwest,Aleutians West Census Area,Unalaska,1
05/03/2021,Southwest,Bethel Census Area,Other,2
05/03/2021,Southwest,Kusilvak Census Area,Other,1
05/04/2021,Anchorage,Anchorage Municipality,Anchorage,37
05/04/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/04/2021,Anchorage,Anchorage Municipality,Eagle River,5
05/04/2021,Anchorage,Anchorage Municipality,Girdwood,1
05/04/2021,Gulf Coast,Copper River Census Area,Other,1
05/04/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
05/04/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
05/04/2021,Gulf Coast,Kenai Peninsula Borough,Other North,1
05/04/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,3
05/04/2021,Interior,Fairbanks North Star Borough,Fairbanks,13
05/04/2021,Interior,Fairbanks North Star Borough,North Pole,17
05/04/2021,Interior,Fairbanks North Star Borough,Other,1
05/04/2021,Interior,Fairbanks North Star Borough,Salcha,1
05/04/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,2
05/04/2021,Interior,Southeast Fairbanks Census Area,Other,2
05/04/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,12
05/04/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,25
05/04/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
05/04/2021,Northern,Nome Census Area,Nome,1
05/04/2021,Northern,North Slope Borough,Utqiagvik,2
05/04/2021,Southeast,Juneau City and Borough,Juneau,2
05/04/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,7
05/04/2021,Southeast,Ketchikan Gateway Borough,Other,3
05/04/2021,Southwest,Bethel Census Area,Other,5
05/04/2021,Southwest,Kusilvak Census Area,Chevak,1
05/05/2021,Anchorage,Anchorage Municipality,Anchorage,31
05/05/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/05/2021,Anchorage,Anchorage Municipality,Eagle River,2
05/05/2021,Gulf Coast,Chugach Census Area,Other,1
05/05/2021,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
05/05/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,3
05/05/2021,Interior,Fairbanks North Star Borough,Fairbanks,13
05/05/2021,Interior,Fairbanks North Star Borough,North Pole,8
05/05/2021,Interior,Fairbanks North Star Borough,Other,2
05/05/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,2
05/05/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,12
05/05/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
05/05/2021,Southeast,Juneau City and Borough,Juneau,2
05/05/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,10
05/05/2021,Southeast,Ketchikan Gateway Borough,Other,1
05/05/2021,Southeast,Petersburg Borough,Petersburg,2
05/05/2021,Southeast,Prince of Wales-Hyder Census Area,Craig,2
05/06/2021,Anchorage,Anchorage Municipality,Anchorage,36
05/06/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/06/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
05/06/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/06/2021,Gulf Coast,Kenai Peninsula Borough,Other South,1
05/06/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,4
05/06/2021,Interior,Fairbanks North Star Borough,Fairbanks,14
05/06/2021,Interior,Fairbanks North Star Borough,North Pole,4
05/06/2021,Interior,Fairbanks North Star Borough,Other,1
05/06/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,2
05/06/2021,Interior,Southeast Fairbanks Census Area,Other,1
05/06/2021,Interior,Southeast Fairbanks Census Area,Tok,1
05/06/2021,Interior,Yukon-Koyukuk Census Area,Other,1
05/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,2
05/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,13
05/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
05/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
05/06/2021,Northern,Nome Census Area,Nome,3
05/06/2021,Northern,North Slope Borough,Utqiagvik,1
05/06/2021,Northern,Northwest Arctic Borough,Other,1
05/06/2021,Southeast,Juneau City and Borough,Juneau,5
05/06/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,12
05/06/2021,Southeast,Ketchikan Gateway Borough,Other,5
05/06/2021,Southeast,Petersburg Borough,Petersburg,1
05/06/2021,Southeast,Prince of Wales-Hyder Census Area,Craig,1
05/06/2021,Southeast,Prince of Wales-Hyder Census Area,Other,1
05/06/2021,Southeast,Yakutat plus Hoonah-Angoon,Other,1
05/06/2021,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
05/07/2021,Anchorage,Anchorage Municipality,Anchorage,27
05/07/2021,Anchorage,Anchorage Municipality,Eagle River,2
05/07/2021,Anchorage,Anchorage Municipality,Girdwood,2
05/07/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/07/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
05/07/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
05/07/2021,Interior,Fairbanks North Star Borough,Fairbanks,12
05/07/2021,Interior,Fairbanks North Star Borough,North Pole,2
05/07/2021,Interior,Southeast Fairbanks Census Area,Other,1
05/07/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,6
05/07/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,12
05/07/2021,Northern,North Slope Borough,Other,1
05/07/2021,Southeast,Juneau City and Borough,Juneau,3
05/07/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,13
05/07/2021,Southeast,Sitka City and Borough,Sitka,1
05/07/2021,Southeast,Wrangell City and Borough,Wrangell,1
05/08/2021,Anchorage,Anchorage Municipality,Anchorage,37
05/08/2021,Anchorage,Anchorage Municipality,Chugiak,2
05/08/2021,Anchorage,Anchorage Municipality,Eagle River,1
05/08/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
05/08/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
05/08/2021,Interior,Fairbanks North Star Borough,Fairbanks,11
05/08/2021,Interior,Fairbanks North Star Borough,North Pole,3
05/08/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,6
05/08/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,20
05/08/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
05/08/2021,Northern,Nome Census Area,Nome,1
05/08/2021,Southeast,Juneau City and Borough,Juneau,5
05/08/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,4
05/08/2021,Southeast,Sitka City and Borough,Sitka,1
05/09/2021,Anchorage,Anchorage Municipality,Anchorage,8
05/09/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/09/2021,Anchorage,Anchorage Municipality,Eagle River,2
05/09/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,2
05/09/2021,Interior,Denali Borough,Healy,1
05/09/2021,Interior,Fairbanks North Star Borough,Fairbanks,6
05/09/2021,Interior,Fairbanks North Star Borough,North Pole,8
05/09/2021,Interior,Fairbanks North Star Borough,Other,1
05/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
05/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,8
05/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
05/09/2021,Southeast,Juneau City and Borough,Juneau,2
05/09/2021,Southeast,Sitka City and Borough,Sitka,1
05/10/2021,Anchorage,Anchorage Municipality,Anchorage,10
05/10/2021,Anchorage,Anchorage Municipality,Eagle River,1
05/10/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,2
05/10/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,4
05/10/2021,Interior,Fairbanks North Star Borough,Fairbanks,2
05/10/2021,Interior,Fairbanks North Star Borough,North Pole,1
05/10/2021,Interior,Yukon-Koyukuk Census Area,Other,1
05/10/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,9
05/10/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,8
05/10/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
05/10/2021,Northern,Nome Census Area,Nome,1
05/10/2021,Southeast,Juneau City and Borough,Juneau,1
05/10/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,5
05/10/2021,Southeast,Ketchikan Gateway Borough,Other,1
05/10/2021,Southeast,Prince of Wales-Hyder Census Area,Metlakatla,1
05/10/2021,Southeast,Yakutat plus Hoonah-Angoon,Other,2
05/10/2021,Southwest,Aleutians West Census Area,Unalaska,1
05/10/2021,Southwest,Bethel Census Area,Other,2
05/10/2021,Southwest,Kusilvak Census Area,Hooper Bay,2
05/10/2021,Southwest,Kusilvak Census Area,Other,2
05/11/2021,Anchorage,Anchorage Municipality,Anchorage,17
05/11/2021,Anchorage,Anchorage Municipality,Chugiak,1
05/11/2021,Anchorage,Anchorage Municipality,Eagle River,2
05/11/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/11/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,5
05/11/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
05/11/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
05/11/2021,Gulf Coast,Kodiak Island Borough,Kodiak,2
05/11/2021,Interior,Fairbanks North Star Borough,Fairbanks,15
05/11/2021,Interior,Fairbanks North Star Borough,North Pole,5
05/11/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
05/11/2021,Interior,Yukon-Koyukuk Census Area,Other,1
05/11/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,9
05/11/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,6
05/11/2021,Northern,North Slope Borough,Utqiagvik,2
05/11/2021,Southeast,Juneau City and Borough,Juneau,5
05/11/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,11
05/11/2021,Southwest,Bethel Census Area,Other,1
05/12/2021,Anchorage,Anchorage Municipality,Anchorage,15
05/12/2021,Anchorage,Anchorage Municipality,Eagle River,1
05/12/2021,Gulf Coast,Chugach Census Area,Cordova,2
05/12/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,4
05/12/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
05/12/2021,Gulf Coast,Kenai Peninsula Borough,Seward,2
05/12/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
05/12/2021,Interior,Denali Borough,Healy,3
05/12/2021,Interior,Fairbanks North Star Borough,Fairbanks,9
05/12/2021,Interior,Fairbanks North Star Borough,North Pole,6
05/12/2021,Interior,Southeast Fairbanks Census Area,Tok,3
05/12/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,4
05/12/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,5
05/12/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
05/12/2021,Northern,Nome Census Area,Nome,2
05/12/2021,Southeast,Juneau City and Borough,Juneau,1
05/12/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,13
05/12/2021,Southeast,Petersburg Borough,Petersburg,1
05/12/2021,Southeast,Prince of Wales-Hyder Census Area,Metlakatla,5
05/12/2021,Southeast,Prince of Wales-Hyder Census Area,Other,2
05/12/2021,Southwest,Aleutians West Census Area,Unalaska,1
05/13/2021,Anchorage,Anchorage Municipality,Anchorage,20
05/13/2021,Anchorage,Anchorage Municipality,Eagle River,5
05/13/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
05/13/2021,Gulf Coast,Kenai Peninsula Borough,Homer,3
05/13/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
